"","cyear","ccode","scode","country","year","democ","autoc","polity","polity2","region","gdp_per_capita","pop","population"
"1",22017,2,"USA","United States",2017,8,0,8,8,"Europe and North America",59531.661964344,325719178,"300M - 1B"
"2",202017,20,"CAN","Canada",2017,10,0,10,10,"Europe and North America",45032.1199081697,36708083,"30M - 50M"
"3",402017,40,"CUB","Cuba",2017,0,7,-7,-7,"Central and South America",7602.3,11484636," 10M - 30M"
"4",412017,41,"HAI","Haiti",2017,6,1,5,5,"Central and South America",765.683924629642,10981229," 10M - 30M"
"5",422017,42,"DOM","Dominican Republic",2017,8,1,7,7,"Central and South America",7052.25883896858,10766998," 10M - 30M"
"6",512017,51,"JAM","Jamaica",2017,9,0,9,9,"Central and South America",5109.5526491955,2890299,"< 10 Million"
"7",522017,52,"TRI","Trinidad and Tobago",2017,10,0,10,10,"Central and South America",16145.1845729645,1369125,"< 10 Million"
"8",702017,70,"MEX","Mexico",2017,8,0,8,8,"Central and South America",8902.83082294794,129163276,"100M - 300M"
"9",902017,90,"GUA","Guatemala",2017,9,1,8,8,"Central and South America",4470.98957191189,16913503," 10M - 30M"
"10",912017,91,"HON","Honduras",2017,6,1,5,5,"Central and South America",2480.12592858547,9265067,"< 10 Million"
"11",922017,92,"SAL","El Salvador",2017,8,0,8,8,"Central and South America",3889.30876895407,6377853,"< 10 Million"
"12",932017,93,"NIC","Nicaragua",2017,7,1,6,6,"Central and South America",2221.80644458727,6217581,"< 10 Million"
"13",942017,94,"COS","Costa Rica",2017,10,0,10,10,"Central and South America",11630.6683963387,4905769,"< 10 Million"
"14",952017,95,"PAN","Panama",2017,9,0,9,9,"Central and South America",15087.6816327188,4098587,"< 10 Million"
"15",1002017,100,"COL","Colombia",2017,7,0,7,7,"Central and South America",6301.58987782717,49065615,"30M - 50M"
"16",1012017,101,"VEN","Venezuela, RB",2017,1,4,-3,-3,"Central and South America",15296.4,31977065,"30M - 50M"
"17",1102017,110,"GUY","Guyana",2017,8,1,7,7,"Central and South America",4725.31906329949,777859,"< 10 Million"
"18",1152017,115,"SUR","Suriname",2017,6,1,5,5,"Central and South America",5900.55648589599,563402,"< 10 Million"
"19",1302017,130,"ECU","Ecuador",2017,6,1,5,5,"Central and South America",6198.94732333954,16624858," 10M - 30M"
"20",1352017,135,"PER","Peru",2017,9,0,9,9,"Central and South America",6571.92864469964,32165485,"30M - 50M"
"21",1402017,140,"BRA","Brazil",2017,8,0,8,8,"Central and South America",9821.40768641008,209288278,"100M - 300M"
"22",1452017,145,"BOL","Bolivia",2017,7,0,7,7,"Central and South America",3393.95581751781,11051600," 10M - 30M"
"23",1502017,150,"PAR","Paraguay",2017,9,0,9,9,"Central and South America",4365.52616174354,6811297,"< 10 Million"
"24",1552017,155,"CHL","Chile",2017,10,0,10,10,"Central and South America",15346.4496997595,18054726," 10M - 30M"
"25",1602017,160,"ARG","Argentina",2017,9,0,9,9,"Central and South America",14401.9748546081,44271041,"30M - 50M"
"26",1652017,165,"URU","Uruguay",2017,10,0,10,10,"Central and South America",16245.5983677431,3456750,"< 10 Million"
"27",2002017,200,"UKG","United Kingdom",2017,10,0,10,10,"Europe and North America",39720.4434267836,66022273,"50M - 70M"
"28",2052017,205,"IRE","Ireland",2017,10,0,10,10,"Europe and North America",69330.6901544912,4813608,"< 10 Million"
"29",2102017,210,"NTH","Netherlands",2017,10,0,10,10,"Europe and North America",48223.1554941825,17132854," 10M - 30M"
"30",2112017,211,"BEL","Belgium",2017,8,0,8,8,"Europe and North America",43323.8073364711,11372068," 10M - 30M"
"31",2122017,212,"LUX","Luxembourg",2017,10,0,10,10,"Europe and North America",104103.036746518,599449,"< 10 Million"
"32",2202017,220,"FRN","France",2017,9,0,9,9,"Europe and North America",38476.6586361575,67118648,"50M - 70M"
"33",2252017,225,"SWZ","Switzerland",2017,10,0,10,10,"Europe and North America",80189.6968607849,8466017,"< 10 Million"
"34",2302017,230,"SPN","Spain",2017,10,0,10,10,"Europe and North America",28156.8158362352,46572028,"30M - 50M"
"35",2352017,235,"POR","Portugal",2017,10,0,10,10,"Europe and North America",21136.2972102005,10293718," 10M - 30M"
"36",2552017,255,"GMY","Germany",2017,10,0,10,10,"Europe and North America",44469.9090607244,82695000,"70M - 100M"
"37",2902017,290,"POL","Poland",2017,10,0,10,10,"Europe and North America",13811.6642436808,37975841,"30M - 50M"
"38",3052017,305,"AUS","Austria",2017,10,0,10,10,"Europe and North America",47290.9116498316,8809212,"< 10 Million"
"39",3102017,310,"HUN","Hungary",2017,10,0,10,10,"Europe and North America",14224.8464577027,9781127,"< 10 Million"
"40",3162017,316,"CZR","Czech Republic",2017,9,0,9,9,"Europe and North America",20368.1385576071,10591323," 10M - 30M"
"41",3172017,317,"SLO","Slovak Republic",2017,10,0,10,10,"Europe and North America",17604.950976993,5439892,"< 10 Million"
"42",3252017,325,"ITA","Italy",2017,10,0,10,10,"Europe and North America",31952.9759206841,60551416,"50M - 70M"
"43",3392017,339,"ALB","Albania",2017,9,0,9,9,"Europe and North America",4537.8624924478,2873457,"< 10 Million"
"44",3412017,341,"KOS","Kosovo",2017,8,0,8,8,"Europe and North America",3893.96982393753,1830700,"< 10 Million"
"45",3422017,342,"SER","Serbia",2017,9,1,8,8,"Europe and North America",5900.0381075126,7022268,"< 10 Million"
"46",3432017,343,"MAC","Macedonia, FYR",2017,9,0,9,9,"Europe and North America",5442.6,2083160,"< 10 Million"
"47",3442017,344,"CRO","Croatia",2017,9,0,9,9,"Europe and North America",13294.5149256785,4125700,"< 10 Million"
"48",3462017,346,"BOS","Bosnia and Herzegovina",2017,-66,-66,-66,NA,"Europe and North America",5180.6,3507017,"< 10 Million"
"49",3492017,349,"SLV","Slovenia",2017,10,0,10,10,"Europe and North America",23597.2917255702,2066748,"< 10 Million"
"50",3502017,350,"GRC","Greece",2017,10,0,10,10,"Europe and North America",18613.4238733817,10760421," 10M - 30M"
"51",3522017,352,"CYP","Cyprus",2017,10,0,10,10,"Asia",25233.570984591,1179551,"< 10 Million"
"52",3552017,355,"BUL","Bulgaria",2017,9,0,9,9,"Europe and North America",8031.59844245699,7075991,"< 10 Million"
"53",3592017,359,"MLD","Moldova",2017,9,0,9,9,"Europe and North America",2289.87771873439,3549750,"< 10 Million"
"54",3602017,360,"RUM","Romania",2017,9,0,9,9,"Europe and North America",10813.7166001986,19586539," 10M - 30M"
"55",3652017,365,"RUS","Russian Federation",2017,5,1,4,4,"Europe and North America",10743.1,144495044,"100M - 300M"
"56",3662017,366,"EST","Estonia",2017,9,0,9,9,"Europe and North America",19704.655040239,1315480,"< 10 Million"
"57",3672017,367,"LAT","Latvia",2017,8,0,8,8,"Europe and North America",15594.2860155406,1940740,"< 10 Million"
"58",3682017,368,"LIT","Lithuania",2017,10,0,10,10,"Europe and North America",16680.6780952339,2827721,"< 10 Million"
"59",3692017,369,"UKR","Ukraine",2017,5,1,4,4,"Europe and North America",2639.82432586795,44831159,"30M - 50M"
"60",3702017,370,"BLR","Belarus",2017,0,7,-7,-7,"Europe and North America",5726.02967250931,9507875,"< 10 Million"
"61",3712017,371,"ARM","Armenia",2017,5,0,5,5,"Asia",3936.79831965287,2930450,"< 10 Million"
"62",3722017,372,"GRG","Georgia",2017,8,1,7,7,"Asia",4078.25487917912,3717100,"< 10 Million"
"63",3732017,373,"AZE","Azerbaijan",2017,0,7,-7,-7,"Asia",4131.61831005055,9862429,"< 10 Million"
"64",3752017,375,"FIN","Finland",2017,10,0,10,10,"Europe and North America",45703.327865074,5511303,"< 10 Million"
"65",3802017,380,"SWD","Sweden",2017,10,0,10,10,"Europe and North America",53442.0082808022,10067744," 10M - 30M"
"66",3852017,385,"NOR","Norway",2017,10,0,10,10,"Europe and North America",75504.5662551423,5282223,"< 10 Million"
"67",3902017,390,"DEN","Denmark",2017,10,0,10,10,"Europe and North America",56307.5082995258,5769603,"< 10 Million"
