"","cyear","ccode","scode","country","year","democ","autoc","polity","polity2","region","GDP_per _capita","population"
"142",7132017,713,"TAW","Taiwan",2017,10,0,10,10,"Asia",25534,23562318
"143",7312017,731,"PRK","Korea, Dem. People’s Rep.",2017,0,10,-10,-10,"Asia",1800,25490965
"144",7322017,732,"ROK","Korea, Rep.",2017,8,0,8,8,"Asia",29742.8,51466201
"145",7402017,740,"JPN","Japan",2017,10,0,10,10,"Asia",38428.0973168279,126785797
"146",7502017,750,"IND","India",2017,9,0,9,9,"Europe and North America",1939.61298448814,1339180127
"147",7602017,760,"BHU","Bhutan",2017,6,1,5,5,"Asia",3110.23011252519,807610
"148",7702017,770,"PAK","Pakistan",2017,7,0,7,7,"Asia",1547.85341366929,197015955
"149",7712017,771,"BNG","Bangladesh",2017,3,2,1,1,"Asia",1516.51342307197,164669751
"150",7752017,775,"MYA","Myanmar",2017,8,0,8,8,"Asia",1298.9,53370609
"151",7802017,780,"SRI","Sri Lanka",2017,7,1,6,6,"Asia",4065.22487411082,21444000
"152",7902017,790,"NEP","Nepal",2017,6,0,6,6,"Asia",835.079846579319,29304998
"153",8002017,800,"THI","Thailand",2017,0,3,-3,-3,"Asia",6593.8198059239,69037513
"154",8112017,811,"CAM","Cambodia",2017,0,4,-4,-4,"Asia",1384.42318730336,16005373
"155",8122017,812,"LAO","Lao PDR",2017,0,7,-7,-7,"Asia",2457.4,6858160
"156",8182017,818,"VIE","Vietnam",2017,0,7,-7,-7,"Europe and North America",2343.12457457605,95540800
"157",8202017,820,"MAL","Malaysia",2017,6,1,5,5,"Europe and North America",9944.90430018576,31624264
"158",8302017,830,"SIN","Singapore",2017,2,4,-2,-2,"Asia",57714.2966313778,5612253
"159",8402017,840,"PHI","Philippines",2017,8,0,8,8,"Asia",2988.95270336383,104918090
"160",8502017,850,"INS","Indonesia",2017,9,0,9,9,"Europe and North America",3846.86432330998,263991379
"161",8602017,860,"ETM","Timor-Leste",2017,9,1,8,8,"Oceania (Island States)",2279.3,1296311
"162",9002017,900,"AUL","Australia",2017,10,0,10,10,"Oceania (Island States)",53799.9380899599,24598933
"163",9102017,910,"PNG","Papua New Guinea",2017,5,0,5,5,"Asia",2555.85316162118,8251162
"164",9202017,920,"NEW","New Zealand",2017,10,0,10,10,"Oceania (Island States)",42940.5782879727,4793900
"165",9402017,940,"SOL","Solomon Islands",2017,9,1,8,8,"Oceania (Island States)",2132.1150583547,611343
"166",9502017,950,"FJI","Fiji",2017,3,1,2,2,"Oceania (Island States)",5589.38883340896,905502
